0.62 -- 0.63  &  0.192 $\pm$ 0.086 $\pm$ 0.036  & 0.875 -- 0.88  &  11.051 $\pm$ 0.428 $\pm$ 0.148  \\ 
0.63 -- 0.64  &  0.247 $\pm$ 0.098 $\pm$ 0.016  & 0.88 -- 0.885  &  11.048 $\pm$ 0.421 $\pm$ 0.143  \\ 
0.64 -- 0.65  &  0.223 $\pm$ 0.077 $\pm$ 0.004  & 0.885 -- 0.89  &  11.024 $\pm$ 0.457 $\pm$ 0.141  \\ 
0.65 -- 0.66  &  0.252 $\pm$ 0.081 $\pm$ 0.004  & 0.89 -- 0.895  &  10.689 $\pm$ 0.443 $\pm$ 0.137  \\ 
0.66 -- 0.67  &  0.446 $\pm$ 0.137 $\pm$ 0.010  & 0.895 -- 0.9  &  10.101 $\pm$ 0.437 $\pm$ 0.130  \\ 
0.67 -- 0.68  &  0.747 $\pm$ 0.154 $\pm$ 0.010  & 0.9 -- 0.905  &  9.779 $\pm$ 0.446 $\pm$ 0.125  \\ 
0.68 -- 0.69  &  0.818 $\pm$ 0.139 $\pm$ 0.011  & 0.905 -- 0.91  &  10.180 $\pm$ 0.427 $\pm$ 0.131  \\ 
0.69 -- 0.7  &  1.191 $\pm$ 0.154 $\pm$ 0.015  & 0.91 -- 0.915  &  10.116 $\pm$ 0.397 $\pm$ 0.130  \\ 
0.7 -- 0.705  &  1.775 $\pm$ 0.184 $\pm$ 0.025  & 0.915 -- 0.92  &  10.443 $\pm$ 0.391 $\pm$ 0.134  \\ 
0.705 -- 0.71  &  2.367 $\pm$ 0.254 $\pm$ 0.037  & 0.92 -- 0.925  &  10.917 $\pm$ 0.443 $\pm$ 0.141  \\ 
0.71 -- 0.715  &  2.801 $\pm$ 0.277 $\pm$ 0.040  & 0.925 -- 0.93  &  10.987 $\pm$ 0.447 $\pm$ 0.141  \\ 
0.715 -- 0.72  &  3.167 $\pm$ 0.302 $\pm$ 0.043  & 0.93 -- 0.935  &  10.600 $\pm$ 0.387 $\pm$ 0.136  \\ 
