   0.8        1.3             0.8     1.2
   2.0        1.8	      1.9     1.7
   4.0        2.6	      3.8     2.4
   4.6        3.7	      4.4     3.4
   7.2        5.2	      6.6     4.8
   9.4        7.5	      8.7     6.8
  15.0       10.8	     13.7     9.7
  22.0       15.7	     20.0    14.0
  28.4       23.2	     25.4    20.4
  46.3       34.8	     41.3    30.3
  30.5       23.7	     27.2    20.5
  39.8       29.5	     35.5    25.5
  51.1       37.0	     45.5    31.9
  70.2       46.7	     63.0    40.2
  85.0       59.6	     76.1    51.4
 119.0       76.9	    107.0    66.4
 147.7      100.6	    133.6    87.3
 214.1      134.0	    194.8   117.0
 280.2      182.5	    257.4   160.6
 423.3      255.5	    392.7   227.2
 289.9      167.4	    270.9   150.2
 344.7      204.0	    324.9   184.4
 440.0      252.0	    416.5   229.5
 605.5      316.6	    576.6   290.5
 765.4      405.7	    734.0   375.4
1037.9      532.8	   1001.9   497.3
1388.8      721.7	   1347.6   679.6
1932.2     1016.7	   1886.8   966.2
2660.8     1507.0	   2611.7  1445.5
3626.1     2385.3	   3576.8  2309.5
4844.4     4085.4	   4799.5  3993.0
5951.9     7403.7	   5921.5  7304.5
6723.6    11871.0	   6713.1 11820.5
6834.2    11937.8	   6850.2 11995.1
6265.4     7720.0	   6304.5  7826.0
5283.5     4534.7	   5337.9  4636.6
4072.2     2835.8	   4135.2  2923.5
3045.1     1918.5	   3107.7  1993.5
2281.1     1384.8	   2342.9  1449.7
1650.9     1051.1	   1707.0  1108.2
1281.2      829.7	   1333.6   880.5
 984.3      675.5	   1032.1   721.4
 763.7      563.9	    807.0   605.7
 607.4      480.6	    645.9   518.9
 509.0      416.6	    544.8   452.0
 443.2      366.5	    476.6   399.4
 397.2      326.5	    429.3   357.2
 327.3      294.0	    355.8   322.8
 599.3      512.4	    654.8   565.1
 478.9      436.9	    526.5   484.3
 423.7      382.2	    468.1   425.2
 361.3      341.5	    400.6   380.8
 330.3      310.4	    366.9   346.7
 310.2      286.4	    345.1   320.1
 283.5      267.6	    315.4   299.0
 257.7      252.7	    286.8   282.2
 248.8      241.0	    276.5   268.8
 242.8      231.7	    269.4   258.0
 225.0      224.5	    249.5   249.4
 230.2      218.9	    254.5   242.7
 219.6      214.8	    242.3   237.4
 217.1      211.9	    238.9   233.5
 214.5      210.0	    235.3   230.8
 218.6      209.0	    239.0   229.0
 213.1      208.9	    232.5   228.2
 215.5      209.7	    234.3   228.2
 206.4      211.1	    223.8   229.1
 223.4      213.3	    241.3   230.7
 215.9      216.2	    232.6   233.0
 221.0      219.8	    237.2   236.2
 229.8      224.3	    245.7   240.1
 232.1      229.5	    247.5   245.0
 254.3      235.8	    270.3   250.8
 247.2      243.1	    261.7   257.8
 256.9      251.8	    271.4   266.2
 283.1      262.1	    298.0   276.2
 285.5      274.4	    299.6   288.4
 316.1      289.4	    330.6   303.3
 335.6      308.1	    349.9   321.9
 369.7      331.9	    384.4   345.8
 192.1      177.1	    199.3   184.1
 227.3      186.1	    235.4   193.2
 239.4      196.7	    247.6   203.9
 255.3      209.4	    263.5   216.7
 279.7      224.7	    288.3   232.3
 317.2      243.7	    326.5   251.6
 377.7      267.7	    388.2   276.0
 447.9      298.9	    459.6   307.8
 546.0      341.0	    559.6   350.6
 707.5      400.3	    724.3   411.0
 866.7      489.1	    886.3   501.4
1153.2      633.4	   1178.5   648.4
1462.3      898.2	   1494.0   917.8
1838.0     1481.7	   1877.7  1510.2
2110.4     3144.4	   2156.6  3195.4
2138.3     6527.4	   2186.0  6658.8
2038.9     3454.3	   2085.7  3561.9
1665.2      884.6	   1704.4   911.5
1227.9      279.2	   1257.4   287.1
 824.8      102.1	    845.1   105.0
 516.9       38.3	    529.9    39.4
 330.7       13.0	    339.0    13.5
 192.3        3.3	    197.2     3.5
 120.5        0.4	    123.5     0.5
  67.0        0.7	     68.7     0.8
  50.4        2.6	     51.8     2.7
  33.4        5.1	     34.2     5.3
  32.3        8.0	     33.1     8.2
  42.8       24.7	     43.7    25.2
  51.0       35.8	     51.9    36.3
  53.8       45.7	     54.7    46.4
  58.7       54.5	     59.5    55.2
  66.1       62.3	     67.0    63.0
  75.6       69.1	     76.6    69.9
 160.8      155.7	    162.8   157.5
 181.9      174.9	    184.2   176.9
 499.7      498.6	    506.9   505.3
 565.4      564.2	    576.7   575.0
 621.7      612.4	    640.0   629.7
 638.2      651.9	    664.6   678.2
 692.8      687.0	    731.6   724.9
 724.1      719.3	    776.4   770.8
 748.0      748.0	    814.1   814.0
 763.8      769.9	    842.3   849.6
 781.5      780.6	    870.4   870.3
 764.2      776.2	    853.8   868.8
 753.1      755.9	    837.0   841.9
 717.9      724.2	    784.1   793.2
 699.8      690.1	    741.1   732.6
 669.1      663.8	    676.7   672.9
 657.3      655.2	    626.7   625.8
 684.1      671.8	    611.7   600.8
 718.1      719.5	    604.7   605.0
 818.1      799.3	    659.3   642.2
 914.4      900.3	    722.9   708.2
 976.6      987.6	    775.9   780.7
 968.9     1007.0	    789.0   817.3
 937.1      928.9	    792.3   784.4
 778.6      782.7	    688.5   692.4
 620.9      623.6	    575.6   578.8
 473.4      486.3	    459.3   472.9
 366.3      379.4	    370.5   385.3
 301.1      299.4	    317.0   316.3
 257.1      239.7	    281.0   262.6
 187.9      195.0	    212.0   220.6
 141.0      160.9	    163.1   187.4

